"cluster_label","date","time","area","country","latitude","longitude","elevation","temperature","relative_humidity","cloud_cover","precipitation","tag"
"-3","2025-09-11","15:11:15",NULL,NULL,"-12.0958649","-77.0246458","205","6.9655004","64.44732","28","0","transit"
"-1","2025-09-12","10:59:39",NULL,NULL,"-12.028893502241512","-77.11612247869232","205","6.7155004","64.62286","98","0","outlier"
"1","2025-05-25","06:16:03","Auckland","New Zealand","-37.006108","174.782848","0","26.5","78.71044","100","0","transit_station"
"2","2025-01-28","11:11:05","Gujarat","India","23.072692","72.617356","33","0.273","39.008812","0","0","restaurant"
"6","2025-08-15","14:19:56","Islas Galapagos","Ecuador","-0.4448822164481635","-90.26945579490888","62","32.046","39.58893","3","0","airport"
"7","2025-08-03","18:01:37","Galapagos Province","Ecuador","-0.906814","-89.6143828","7","31.8635","42.795937","15","0","airport"
"9","2025-07-24","14:22:04","Bogota","Colombia","4.698534340479656","-74.1400876920443","56","26.6495","81.89108","100","0","transit_station"
"11","2025-05-26","02:56:16","Provincia de Buenos Aires","Argentina","-34.813245461858955","-58.539447603653045","0","26.75","84.15389","97","0","store"
"12","2025-06-15","19:28:02","Ciudad Autonoma de Buenos Aires","Argentina","-34.6559661","-58.5081042","0","27.4","76.489365","100","0.6","shoe_store"
"14","2025-04-20","04:34:19","Hebei","China","39.508587813775925","116.4154880169688","129","25.224499","67.05688","0","0","airport"
"15","2025-04-20","05:20:22","Hebei","China","39.508544921875","116.41824444517636","129","25.224499","67.05688","0","0","airport"
"20","2025-07-02","20:10:26","Salta","Argentina","-25.120601529813925","-66.16147768458468","39","22.882","90.15488","89","0","cafe"
"22","2025-06-20","17:54:59","Ciudad Autonoma de Buenos Aires","Argentina","-34.6391743","-58.363461","0","26.2","83.08396","100","0.2","store"
"25","2025-04-16","08:05:24","Chiba","Japan","35.778984120070255","140.38518030760747","129","28.2745","46.6486","100","0","airport"
"26","2025-04-16","08:21:21","Chiba","Japan","35.778642202943324","140.38563872822465","129","29.0745","47.012085","92","0","cafe"
